CustomerKey;GeographyKey;CustomerAlternateKey;Title;FirstName;MiddleName;LastName;NameStyle;BirthYear;BirthMonth;BirthDay;MaritalStatus;Suffix;Gender;EmailAddress;YearlyIncome;TotalChildren;NumberChildrenAtHome;EnglishEducation;SpanishEducation;FrenchEducation;EnglishOccupation;SpanishOccupation;FrenchOccupation;HouseOwnerFlag;NumberCarsOwned;AddressLine1;AddressLine2;Phone;DateFirstPurchase;CommuteDistance
11018;32;AW00011018;null;Clarence;D;Rai;FALSE;1971;10;6;S;null;M;clarence32@adventure-works.com;30000;2;0;Partial College;Estudios universitarios (en curso);Baccalauréat;Clerical;Administrativo;Employé;1;2;244 Rivewview;null;1 (11) 500 555-0137;10.07.2017;5-10 Miles
11019;52;AW00011019;null;Luke;L;Lal;FALSE;1999;9;4;S;null;M;luke18@adventure-works.com;40000;0;0;High School;Educación secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;0;2;7832 Landing Dr;null;262-555-0112;16.07.2019;5-10 Miles
11020;53;AW00011020;null;Jordan;C;King;FALSE;2000;3;19;S;null;M;jordan73@adventure-works.com;40000;0;0;High School;Educación secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;0;2;7156 Rose Dr.;null;550-555-0163;01.06.2019;1-2 Miles
11021;536;AW00011021;null;Destiny;null;Wilson;FALSE;2000;3;2;S;null;F;destiny7@adventure-works.com;40000;0;0;Partial College;Estudios universitarios (en curso);Baccalauréat;Skilled Manual;Obrero especializado;Technicien;0;1;8148 W. Lake Dr.;null;622-555-0158;26.06.2019;1-2 Miles
11022;609;AW00011022;null;Ethan;G;Zhang;FALSE;2000;4;10;M;null;M;ethan20@adventure-works.com;40000;0;0;Partial College;Estudios universitarios (en curso);Baccalauréat;Skilled Manual;Obrero especializado;Technicien;1;1;1769 Nicholas Drive;null;589-555-0185;23.06.2019;5-10 Miles
11023;298;AW00011023;null;Seth;M;Edwards;FALSE;2000;4;9;M;null;M;seth46@adventure-works.com;40000;0;0;Partial College;Estudios universitarios (en curso);Baccalauréat;Skilled Manual;Obrero especializado;Technicien;1;1;4499 Valley Crest;null;452-555-0188;21.07.2019;1-2 Miles
11024;311;AW00011024;null;Russell;null;Xie;FALSE;2000;3;16;M;null;M;russell7@adventure-works.com;60000;0;0;Partial College;Estudios universitarios (en curso);Baccalauréat;Skilled Manual;Obrero especializado;Technicien;1;2;8734 Oxford Place;null;746-555-0186;28.11.2019;5-10 Miles
11025;24;AW00011025;null;Alejandro;null;Beck;FALSE;1967;6;22;M;null;M;alejandro45@adventure-works.com;10000;2;1;Partial High School;Educación secundaria (en curso);Niveau bac;Clerical;Administrativo;Employé;1;2;2596 Franklin Canyon Road;null;1 (11) 500 555-0178;05.07.2017;1-2 Miles
11026;4;AW00011026;null;Harold;null;Sai;FALSE;1967;10;1;S;null;M;harold3@adventure-works.com;30000;2;0;Partial College;Estudios universitarios (en curso);Baccalauréat;Clerical;Administrativo;Employé;0;2;8211 Leeds Ct.;null;1 (11) 500 555-0131;14.07.2017;1-2 Miles
11027;40;AW00011027;null;Jessie;R;Zhao;FALSE;1968;6;5;M;null;M;jessie16@adventure-works.com;30000;2;0;Partial College;Estudios universitarios (en curso);Baccalauréat;Clerical;Administrativo;Employé;1;2;213 Valencia Place;null;1 (11) 500 555-0184;10.07.2017;5-10 Miles
11028;17;AW00011028;null;Jill;null;Jimenez;FALSE;1967;10;9;M;null;F;jill13@adventure-works.com;30000;2;0;Partial College;Estudios universitarios (en curso);Baccalauréat;Clerical;Administrativo;Employé;1;2;9111 Rose Ann Ave;null;1 (11) 500 555-0116;16.07.2017;1-2 Miles
11029;32;AW00011029;null;Jimmy;L;Moreno;FALSE;1968;6;19;M;null;M;jimmy9@adventure-works.com;30000;2;0;Partial College;Estudios universitarios (en curso);Baccalauréat;Clerical;Administrativo;Employé;1;2;6385 Mark Twain;null;1 (11) 500 555-0146;12.07.2017;1-2 Miles
11030;28;AW00011030;null;Bethany;G;Yuan;FALSE;1974;2;18;M;null;F;bethany10@adventure-works.com;10000;2;1;Partial High School;Educación secundaria (en curso);Niveau bac;Clerical;Administrativo;Employé;1;2;636 Vine Hill Way;null;1 (11) 500 555-0182;21.07.2017;1-2 Miles
11031;8;AW00011031;null;Theresa;G;Ramos;FALSE;1969;2;18;M;null;F;theresa13@adventure-works.com;20000;4;0;High School;Educación secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;1;2;6465 Detroit Ave.;null;1 (11) 500 555-0195;19.07.2017;1-2 Miles
11032;35;AW00011032;null;Denise;null;Stone;FALSE;1968;12;8;M;null;F;denise10@adventure-works.com;20000;4;0;High School;Educación secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;1;2;626 Bentley Street;null;1 (11) 500 555-0169;27.07.2017;1-2 Miles
11033;9;AW00011033;null;Jaime;null;Nath;FALSE;1974;9;19;M;null;M;jaime41@adventure-works.com;20000;4;0;High School;Educación secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;1;2;5927 Rainbow Dr;null;1 (11) 500 555-0137;25.07.2017;5-10 Miles
11034;12;AW00011034;null;Ebony;null;Gonzalez;FALSE;1968;12;16;M;null;F;ebony19@adventure-works.com;20000;4;0;High School;Educación secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;1;2;5167 Condor Place;null;1 (11) 500 555-0136;19.07.2017;5-10 Miles
11035;33;AW00011035;null;Wendy;null;Dominguez;FALSE;1969;8;23;M;null;F;wendy12@adventure-works.com;10000;2;1;Partial High School;Educación secundaria (en curso);Niveau bac;Clerical;Administrativo;Employé;1;2;1873 Mt. Whitney Dr;null;1 (11) 500 555-0177;21.07.2017;1-2 Miles
11036;343;AW00011036;null;Jennifer;C;Russell;FALSE;2000;;;M;null;F;jennifer93@adventure-works.com;60000;0;0;Partial College;Estudios universitarios (en curso);Baccalauréat;Skilled Manual;Obrero especializado;Technicien;1;2;3981 Augustine Drive;null;115-555-0183;25.06.2019;1-2 Miles
11037;49;AW00011037;null;Chloe;M;Garcia;FALSE;1999;5;27;S;null;F;chloe27@adventure-works.com;40000;0;0;Partial High School;Educación secundaria (en curso);Niveau bac;Clerical;Administrativo;Employé;0;2;8915 Woodside Way;null;229-555-0112;23.06.2019;5-10 Miles
11038;6;AW00011038;null;Diana;F;Hernandez;FALSE;1969;9;20;M;null;F;diana2@adventure-works.com;10000;2;1;Partial High School;Educación secundaria (en curso);Niveau bac;Clerical;Administrativo;Employé;1;2;8357 Sandy Cove Lane;null;1 (11) 500 555-0114;22.07.2017;5-10 Miles
11039;19;AW00011039;null;Marc;J;Martin;FALSE;1970;6;16;M;null;M;marc3@adventure-works.com;30000;3;0;Partial College;Estudios universitarios (en curso);Baccalauréat;Clerical;Administrativo;Employé;1;2;9353 Creekside Dr.;null;1 (11) 500 555-0183;22.07.2017;5-10 Miles
11040;642;AW00011040;null;Jesse;null;Murphy;FALSE;1999;1;29;M;null;M;jesse15@adventure-works.com;30000;0;0;Partial College;Estudios universitarios (en curso);Baccalauréat;Skilled Manual;Obrero especializado;Technicien;1;2;3350 Kingswood Circle;null;961-555-0176;04.09.2019;1-2 Miles
11041;325;AW00011041;null;Amanda;M;Carter;FALSE;1999;4;15;M;null;F;amanda53@adventure-works.com;60000;0;0;Partial College;Estudios universitarios (en curso);Baccalauréat;Skilled Manual;Obrero especializado;Technicien;1;2;5826 Escobar;null;295-555-0145;17.06.2019;1-2 Miles
11042;338;AW00011042;null;Megan;J;Sanchez;FALSE;1998;12;11;M;null;F;megan28@adventure-works.com;70000;0;0;Partial College;Estudios universitarios (en curso);Baccalauréat;Skilled Manual;Obrero especializado;Technicien;1;2;1397 Paraiso Ct.;null;404-555-0199;24.06.2019;0-1 Miles
11043;325;AW00011043;null;Nathan;M;Simmons;FALSE;1997;8;23;M;null;M;nathan11@adventure-works.com;60000;0;0;Partial College;Estudios universitarios (en curso);Baccalauréat;Skilled Manual;Obrero especializado;Technicien;1;2;1170 Shaw Rd;null;296-555-0181;09.10.2019;5-10 Miles
11044;25;AW00011044;null;Adam;L;Flores;FALSE;1970;11;;M;null;M;adam10@adventure-works.com;20000;2;1;Partial High School;Educación secundaria (en curso);Niveau bac;Clerical;Administrativo;Employé;1;2;6935 Candle Dr;null;1 (11) 500 555-0163;02.08.2017;1-2 Miles
11045;8;AW00011045;null;Leonard;G;Nara;FALSE;1971;11;16;S;null;M;leonard18@adventure-works.com;30000;3;0;High School;Educación secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;0;2;7466 La Vista Ave.;null;1 (11) 500 555-0151;11.09.2019;1-2 Miles
11046;6;AW00011046;null;Christine;null;Yuan;FALSE;1971;9;19;M;null;F;christine4@adventure-works.com;30000;3;0;High School;Educación secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;1;2;2356 Orange St;null;1 (11) 500 555-0113;21.07.2017;5-10 Miles
11047;34;AW00011047;null;Jaclyn;D;Lu;FALSE;1971;8;27;M;null;F;jaclyn12@adventure-works.com;30000;3;0;High School;Educación secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;0;2;2812 Mazatlan;null;1 (11) 500 555-0137;20.07.2017;1-2 Miles
11048;39;AW00011048;null;Jeremy;null;Powell;FALSE;1972;5;21;M;null;M;jeremy26@adventure-works.com;30000;3;0;High School;Educación secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;1;2;1803 Potomac Dr.;null;1 (11) 500 555-0183;23.07.2017;5-10 Miles
11049;307;AW00011049;null;Carol;C;Rai;FALSE;2002;1;15;S;null;F;carol8@adventure-works.com;40000;0;0;Partial High School;Educación secundaria (en curso);Niveau bac;Clerical;Administrativo;Employé;1;2;6064 Madrid;null;654-555-0180;10.08.2019;5-10 Miles
11050;31;AW00011050;null;Alan;null;Zheng;FALSE;1973;3;6;M;null;M;alan23@adventure-works.com;30000;3;0;High School;Educación secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;1;2;2741 Gainborough Dr.;null;1 (11) 500 555-0135;28.07.2017;5-10 Miles
11051;21;AW00011051;null;Daniel;null;Johnson;FALSE;1973;1;31;S;null;M;daniel18@adventure-works.com;30000;3;0;High School;Educación secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;0;2;8085 Sunnyvale Avenue;null;1 (11) 500 555-0155;31.05.2020;1-2 Miles
11052;8;AW00011052;null;Heidi;null;Lopez;FALSE;1973;2;3;S;null;F;heidi19@adventure-works.com;40000;2;0;Partial College;Estudios universitarios (en curso);Baccalauréat;Clerical;Administrativo;Employé;0;2;2514 Via Cordona;null;1 (11) 500 555-0168;26.07.2017;5-10 Miles
11053;359;AW00011053;null;Ana;E;Price;FALSE;2002;2;17;M;null;F;ana0@adventure-works.com;60000;0;0;Partial College;Estudios universitarios (en curso);Baccalauréat;Skilled Manual;Obrero especializado;Technicien;0;2;1660 Stonyhill Circle;null;859-555-0113;20.06.2019;1-2 Miles
11054;34;AW00011054;null;Deanna;null;Munoz;FALSE;1973;9;7;M;null;F;deanna33@adventure-works.com;40000;2;0;Partial College;Estudios universitarios (en curso);Baccalauréat;Skilled Manual;Obrero especializado;Technicien;1;2;5825 B Way;null;1 (11) 500 555-0192;20.07.2017;5-10 Miles
11055;22;AW00011055;null;Gilbert;null;Raje;FALSE;1973;9;2;M;null;M;gilbert35@adventure-works.com;40000;2;0;Partial College;Estudios universitarios (en curso);Baccalauréat;Skilled Manual;Obrero especializado;Technicien;1;2;8811 The Trees Dr.;null;1 (11) 500 555-0129;18.07.2017;5-10 Miles
11056;10;AW00011056;null;Michele;L;Nath;FALSE;1974;10;1;M;null;F;michele19@adventure-works.com;40000;3;0;Partial College;Estudios universitarios (en curso);Baccalauréat;Skilled Manual;Obrero especializado;Technicien;1;2;5464 Janin Pl.;null;1 (11) 500 555-0178;31.07.2017;5-10 Miles
11057;5;AW00011057;null;Carl;J;Andersen;FALSE;1986;4;7;M;null;M;carl12@adventure-works.com;70000;2;0;Graduate Degree;Estudios de postgrado;Bac + 3;Management;Gestión;Direction;1;2;6930 Lake Nadine Place;null;1 (11) 500 555-0181;29.07.2017;1-2 Miles
11058;29;AW00011058;null;Marc;null;Diaz;FALSE;1981;4;23;M;null;M;marc6@adventure-works.com;80000;2;0;Partial College;Estudios universitarios (en curso);Baccalauréat;Skilled Manual;Obrero especializado;Technicien;1;2;6645 Sinaloa;null;1 (11) 500 555-0149;11.08.2017;1-2 Miles
11059;27;AW00011059;null;Ashlee;J;Andersen;FALSE;1975;9;29;S;null;F;ashlee19@adventure-works.com;80000;2;0;Partial College;Estudios universitarios (en curso);Baccalauréat;Skilled Manual;Obrero especializado;Technicien;1;2;8255 Highland Road;null;1 (11) 500 555-0112;22.07.2019;5-10 Miles
11060;40;AW00011060;null;Jon;L;Zhou;FALSE;1975;9;14;M;null;M;jon28@adventure-works.com;80000;2;0;Partial College;Estudios universitarios (en curso);Baccalauréat;Skilled Manual;Obrero especializado;Technicien;1;2;6574 Hemlock Ave.;null;1 (11) 500 555-0174;20.08.2017;5-10 Miles
11061;23;AW00011061;null;Todd;M;Gao;FALSE;1992;2;20;M;null;M;todd14@adventure-works.com;80000;2;0;Partial College;Estudios universitarios (en curso);Baccalauréat;Skilled Manual;Obrero especializado;Technicien;1;2;8808 Geneva Ave;null;1 (11) 500 555-0191;14.08.2017;5-10 Miles
11062;547;AW00011062;null;Noah;D;Powell;FALSE;1997;3;1;M;null;M;noah5@adventure-works.com;40000;0;0;High School;Educación secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;1;2;9794 Marion Ct;null;767-555-0113;10.06.2019;5-10 Miles
11063;634;AW00011063;null;Angela;null;Murphy;FALSE;1996;10;4;S;null;F;angela41@adventure-works.com;40000;0;0;High School;Educación secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;1;2;4927 Virgil Street;# 21;451-555-0162;15.06.2019;5-10 Miles
11064;315;AW00011064;null;Chase;null;Reed;FALSE;1997;6;5;M;null;M;chase21@adventure-works.com;40000;0;0;High School;Educación secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;1;2;2721 Alexander Pl.;null;892-555-0184;28.06.2019;5-10 Miles
11065;331;AW00011065;null;Jessica;null;Henderson;FALSE;1995;4;8;M;null;F;jessica29@adventure-works.com;60000;0;0;Partial College;Estudios universitarios (en curso);Baccalauréat;Skilled Manual;Obrero especializado;Technicien;0;2;9343 Ironwood Way;null;278-555-0186;14.07.2019;1-2 Miles
11066;543;AW00011066;null;Grace;T;Butler;FALSE;1995;5;27;M;null;F;grace62@adventure-works.com;70000;0;0;Partial College;Estudios universitarios (en curso);Baccalauréat;Professional;Profesional;Cadre;1;2;4739 Garden Ave.;null;712-555-0141;01.11.2019;5-10 Miles
11067;632;AW00011067;null;Caleb;F;Carter;FALSE;1998;3;25;S;null;M;caleb40@adventure-works.com;60000;0;0;Partial College;Estudios universitarios (en curso);Baccalauréat;Professional;Profesional;Cadre;1;2;9563 Pennsylvania Blvd.;null;944-555-0167;19.01.2020;5-10 Miles
11068;40;AW00011068;null;Tiffany;null;Liang;FALSE;1982;9;19;S;null;F;tiffany17@adventure-works.com;80000;2;0;High School;Educación secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;1;2;3608 Sinclair Avenue;# 701;1 (11) 500 555-0177;01.10.2019;5-10 Miles
11069;23;AW00011069;null;Carolyn;null;Navarro;FALSE;1982;9;17;S;null;F;carolyn30@adventure-works.com;80000;2;0;High School;Educación secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;0;2;4606 Springwood Court;null;1 (11) 500 555-0145;18.09.2017;1-2 Miles
11070;39;AW00011070;null;Willie;T;Raji;FALSE;1976;10;;M;null;M;willie40@adventure-works.com;80000;2;0;High School;Educación secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;1;2;6260 Vernal Drive;null;1 (11) 500 555-0151;28.09.2017;5-10 Miles
11071;24;AW00011071;null;Linda;null;Serrano;FALSE;1976;12;23;S;null;F;linda31@adventure-works.com;80000;2;0;High School;Educación secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;1;2;9808 Shaw Rd.;null;1 (11) 500 555-0130;02.08.2019;5-10 Miles
11072;17;AW00011072;null;Casey;null;Luo;FALSE;1976;8;5;S;null;F;casey6@adventure-works.com;80000;2;0;High School;Educación secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;0;2;9513 Roslyn Drive;null;1 (11) 500 555-0125;01.09.2017;1-2 Miles
11073;16;AW00011073;null;Amy;null;Ye;FALSE;1978;2;11;S;null;F;amy16@adventure-works.com;70000;2;0;High School;Educación secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;1;2;2262 Kirkwood Ct.;null;1 (11) 500 555-0185;24.08.2019;5-10 Miles
11074;28;AW00011074;null;Levi;A;Arun;FALSE;1978;2;25;S;null;M;levi6@adventure-works.com;70000;2;0;High School;Educación secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;1;2;4661 Bluetail;null;1 (11) 500 555-0127;24.08.2019;5-10 Miles
11075;32;AW00011075;null;Felicia;L;Jimenez;FALSE;1979;5;16;S;null;F;felicia4@adventure-works.com;80000;2;0;High School;Educación secundaria;Bac + 2;Professional;Profesional;Cadre;1;2;786 Eastgate Ave;null;1 (11) 500 555-0165;28.09.2017;5-10 Miles
11076;19;AW00011076;null;Blake;null;Anderson;FALSE;1979;1;10;S;null;M;blake9@adventure-works.com;80000;2;0;High School;Educación secundaria;Bac + 2;Professional;Profesional;Cadre;1;2;5436 Clear;# 101;1 (11) 500 555-0113;22.09.2017;5-10 Miles
11077;36;AW00011077;null;Leah;null;Ye;FALSE;1979;3;19;S;null;F;leah7@adventure-works.com;80000;2;0;High School;Educación secundaria;Bac + 2;Professional;Profesional;Cadre;0;2;1291 Arguello Blvd.;null;1 (11) 500 555-0154;16.09.2017;1-2 Miles
11078;49;AW00011078;null;Gina;E;Martin;FALSE;2001;1;6;S;null;F;gina1@adventure-works.com;40000;0;0;High School;Educación secundaria;Bac + 2;Professional;Profesional;Cadre;0;2;1349 Sol St.;null;196-555-0114;19.07.2019;1-2 Miles
11079;34;AW00011079;null;Donald;null;Gonzalez;FALSE;1986;3;7;S;null;M;donald20@adventure-works.com;160000;0;0;Graduate Degree;Estudios de postgrado;Bac + 3;Management;Gestión;Direction;1;2;4236 Malibu Place;null;1 (11) 500 555-0137;16.08.2019;0-1 Miles
11080;30;AW00011080;null;Damien;null;Chander;FALSE;1981;;;M;null;M;damien32@adventure-works.com;170000;0;0;Graduate Degree;Estudios de postgrado;Bac + 3;Management;Gestión;Direction;1;2;9941 Stonehedge Dr.;null;1 (11) 500 555-0111;11.09.2017;0-1 Miles
11081;311;AW00011081;null;Savannah;C;Baker;FALSE;1988;;;M;null;F;savannah39@adventure-works.com;120000;2;2;Bachelors;Licenciatura;Bac + 4;Management;Gestión;Direction;1;3;1210 Trafalgar Circle;null;478-555-0117;16.07.2019;2-5 Miles
11082;322;AW00011082;null;Angela;L;Butler;FALSE;1988;;;S;null;F;angela17@adventure-works.com;130000;0;1;Graduate Degree;Estudios de postgrado;Bac + 3;Management;Gestión;Direction;0;3;6040 Listing Ct;null;579-555-0195;25.06.2019;1-2 Miles
11083;336;AW00011083;null;Alyssa;F;Cox;FALSE;1993;;;M;null;F;alyssa37@adventure-works.com;130000;0;1;Graduate Degree;Estudios de postgrado;Bac + 3;Management;Gestión;Direction;1;3;867 La Orinda Place;null;561-555-0140;09.06.2019;1-2 Miles
11084;543;AW00011084;null;Lucas;null;Phillips;FALSE;1979;3;12;S;null;M;lucas7@adventure-works.com;80000;2;0;Partial High School;Educación secundaria (en curso);Niveau bac;Skilled Manual;Obrero especializado;Technicien;0;2;8668 St. Celestine Court;null;863-555-0172;07.06.2019;1-2 Miles
11085;345;AW00011085;null;Emily;null;Johnson;FALSE;1979;1;16;S;null;F;emily1@adventure-works.com;60000;2;0;High School;Educación secundaria;Bac + 2;Professional;Profesional;Cadre;0;2;7926 Stephanie Way;null;850-555-0184;08.05.2020;5-10 Miles
11086;369;AW00011086;null;Ryan;null;Brown;FALSE;1979;6;22;M;null;M;ryan43@adventure-works.com;70000;2;1;Partial College;Estudios universitarios (en curso);Baccalauréat;Professional;Profesional;Cadre;1;0;2939 Wesley Ct.;null;539-555-0198;03.12.2019;0-1 Miles
11087;307;AW00011087;null;Tamara;L;Liang;FALSE;1979;4;2;M;null;F;tamara6@adventure-works.com;70000;3;2;Partial College;Estudios universitarios (en curso);Baccalauréat;Professional;Profesional;Cadre;0;0;3791 Rossmor Parkway;null;178-555-0152;29.07.2019;0-1 Miles
11088;359;AW00011088;null;Hunter;null;Davis;FALSE;1979;5;25;M;null;M;hunter64@adventure-works.com;80000;2;1;Bachelors;Licenciatura;Bac + 4;Management;Gestión;Direction;1;0;4308 Sand Pointe Lane;null;612-555-0141;16.06.2019;2-5 Miles
11089;337;AW00011089;null;Abigail;M;Price;FALSE;1978;8;5;S;null;F;abigail25@adventure-works.com;80000;2;1;Bachelors;Licenciatura;Bac + 4;Management;Gestión;Direction;1;1;2685 Blackburn Ct;null;532-555-0117;01.06.2019;2-5 Miles
11090;338;AW00011090;null;Trevor;null;Bryant;FALSE;1984;12;13;S;null;M;trevor18@adventure-works.com;90000;2;0;Partial College;Estudios universitarios (en curso);Baccalauréat;Professional;Profesional;Cadre;1;1;5781 Sharon Dr.;null;853-555-0174;07.01.2018;2-5 Miles
11091;50;AW00011091;null;Dalton;null;Perez;FALSE;1978;10;2;M;null;M;dalton37@adventure-works.com;90000;2;0;Partial College;Estudios universitarios (en curso);Baccalauréat;Professional;Profesional;Cadre;1;1;6083 San Jose;null;559-555-0115;02.07.2019;5-10 Miles
11092;22;AW00011092;null;Cheryl;A;Diaz;FALSE;;;;M;null;F;cheryl4@adventure-works.com;90000;2;2;Bachelors;Licenciatura;Bac + 4;Professional;Profesional;Cadre;1;0;7297 Kaywood Drive;null;1 (11) 500 555-0192;09.09.2017;1-2 Miles
11093;19;AW00011093;null;Aimee;A;He;FALSE;1994;9;6;M;null;F;aimee13@adventure-works.com;100000;0;0;Graduate Degree;Estudios de postgrado;Bac + 3;Management;Gestión;Direction;1;0;1833 Olympic Drive;null;1 (11) 500 555-0161;08.09.2017;0-1 Miles
